;ID PDC local;Statut du Point de charge;Arrondissement;ID Station local;ID Station itinerance;Nom station;Code INSEE commune;Type implantation;Nombre point de recharge;Date mise e  jour;Conditions dacces;Adresse station;Coordonnees geographiques;Gratuite;Paiement e  lacte;Paiement CB;Paiement autres;Reservation;Observations;SIREN amenageur;Contact amenageur;Nom amenageur;Nom operateur;Contact operateur;Telephone operateur;Nom enseigne;Tarification;ID PDC itinerance;Date mise en service;Accessibilite PMR;Restriction gabarit;Stationnement 2 roues;Puissance max KW;Prise type EF;Prise type 2;Prise type Combo CCS;Prise type Chademo;Prise type Autre;Prise type 3;Numero point livraison electricite;Horaires;Raccordement
16;FR*V75*EPX07*03*4;En service;07e Arrondissement;FR*V75*PPX07*03;FRV75PPX0703;Paris | Rue Constantine  25;75107.0;Voirie;6;27/09/2022;Acces libre;25 Rue Constantine 75007 Paris;48.858727,2.314834;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX07034;17/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7341533915007.0;24-juil;Direct
17;FR*V75*EPX07*03*2;En service;07e Arrondissement;FR*V75*PPX07*03;FRV75PPX0703;Paris | Rue Constantine  25;75107.0;Voirie;6;27/09/2022;Acces libre;25 Rue Constantine 75007 Paris;48.858727,2.314834;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX07032;17/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7341533915007.0;24-juil;Direct
18;FR*V75*EPX12*01*1;En service;12e Arrondissement;FR*V75*PPX12*01;FRV75PPX1201;Paris | Avenue du Docteur Arnold Netter 10;75112.0;Voirie;5;23/09/2021;Acces libre;50 Avenue du Docteur Arnold Netter 75012 Paris;48.841595,2.4050138;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX12011;10/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7252966607871.0;24-juil;Direct
19;FR*V75*EPX08*07*3;En service;08e Arrondissement;FR*V75*PPX08*07;FRV75PPX0807;Paris | Rue de Rome  73;75108.0;Voirie;6;23/09/2021;Acces libre;73 Rue de Rome 75008 Paris;48.881832,2.32056;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX08073;17/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7528509309497.0;24-juil;Direct
20;FR*V75*EPX09*12*1;En service;09e Arrondissement;FR*V75*PPX09*12;FRV75PPX0912;Paris | Rue Paul Escudier  2;75112.0;Voirie;6;23/09/2021;Acces libre;2 Rue Paul Escudier 75012 Paris;48.880573,2.3317547;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX09121;25/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7158465915016.0;24-juil;Direct
21;FR*V75*EPX12*04*5;En service;12e Arrondissement;FR*V75*PPX12*04;FRV75PPX1204;Paris | Rue de Charenton  251;75112.0;Voirie;5;23/09/2021;Acces libre;251 Rue de Charenton 75012 Paris;48.83641,2.3922555;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX12045;11/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7215339978917.0;24-juil;Direct
22;FR*V75*EPX11*03*5;En service;11e Arrondissement;FR*V75*PPX11*03;FRV75PPX1103;Paris | Rue FraneCois de Neufchateau 11;75111.0;Voirie;6;23/09/2021;Acces libre;11 Rue FraneCois de Neufchateau 75011 Paris;48.85615,2.3825247;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX11035;10/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7234153292646.0;24-juil;Direct
23;FR*V75*EPX17*01*1;En service;17e Arrondissement;FR*V75*PPX17*01;FRV75PPX1701;Paris | Avenue des Ternes 6;75117.0;Voirie;6;23/09/2021;Acces libre;6 Avenue des Ternes 75017 Paris;48.878258,2.2967632;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX17011;01/12/2021;Reserve PMR;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7555571537842.0;24-juil;Direct
24;FR*V75*EPX14*01*2;En service;14e Arrondissement;FR*V75*PPX14*01;FRV75PPX1401;Paris | Rue Broussais  32;75114.0;Voirie;6;23/09/2021;Acces libre;32 Rue Broussais 75014 Paris;48.82844,2.336613;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX14012;17/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7362373277834.0;24-juil;Direct
25;FR*V75*EPX20*05*1;En service;20e Arrondissement;FR*V75*PPX20*05;FRV75PPX2005;Paris | Boulevard de Charonne 158;75120.0;Voirie;6;23/09/2021;Acces libre;158 Boulevard de Charonne 75020 Paris;48.856915,2.3941433;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX20051;23/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7281331296577.0;24-juil;Direct
26;FR*V75*EPX20*05*3;En service;20e Arrondissement;FR*V75*PPX20*05;FRV75PPX2005;Paris | Boulevard de Charonne 158;75120.0;Voirie;6;23/09/2021;Acces libre;158 Boulevard de Charonne 75020 Paris;48.856915,2.3941433;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX20053;23/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7281331296577.0;24-juil;Direct
27;FR*V75*EPX17*02*1;En service;17e Arrondissement;FR*V75*PPX17*02;FRV75PPX1702;Paris | Place du General Koenig 12;75117.0;Voirie;6;23/09/2021;Acces libre;12 Place du General Koenig 75017 Paris;48.88112,2.284095;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX17021;24/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7534732174665.0;24-juil;Direct
28;FR*V75*EPX07*06*3;En service;07e Arrondissement;FR*V75*PPX07*06;FRV75PPX0706;Paris | Rue de Bellechasse 5;75107.0;Voirie;5;23/09/2021;Acces libre;5 Rue de Bellechasse 75007 Paris;48.85988,2.3245049;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX07063;07/07/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7329377619136.0;24-juil;Direct
29;FR*V75*EPX15*03*6;En service;15e Arrondissement;FR*V75*PPX15*03;FRV75PPX1503;Paris | Rue Miollis 21;75115.0;Voirie;7;09/12/2021;Acces libre;21 Rue Miollis 75015 Paris;48.845806,2.3038075;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX15036;13/07/2021;Non accessible;aucune restriction;TRUE;3.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7408682967482.0;24-juil;Direct
30;FR*V75*EPX15*03*7;En service;15e Arrondissement;FR*V75*PPX15*03;FRV75PPX1503;Paris | Rue Miollis 21;75115.0;Voirie;7;09/12/2021;Acces libre;21 Rue Miollis 75015 Paris;48.845806,2.3038075;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX15037;13/07/2021;Non accessible;aucune restriction;TRUE;3.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7408682967482.0;24-juil;Direct
31;FR*V75*EPX15*04*5;En service;15e Arrondissement;FR*V75*PPX15*04;FRV75PPX1504;Paris | Rue Leblanc  19;75115.0;Voirie;5;23/09/2021;Acces libre;19 Rue Leblanc 75015 Paris;48.83984,2.273328;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX15045;24/06/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7432995558049.0;24-juil;Direct
32;FR*V75*EPX15*10*3;En service;15e Arrondissement;FR*V75*PPX15*10;FRV75PPX1510;Paris | Place Etienne Pernet  26;75115.0;Voirie;6;23/09/2021;Acces libre;26 Place Etienne Pernet 75015 Paris;48.842594,2.2920513;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX15103;01/07/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7418523777975.0;24-juil;Direct
33;FR*V75*EPX15*13*1;En service;15e Arrondissement;FR*V75*PPX15*13;FRV75PPX1513;Paris | Rue Cotentin 29;75115.0;Voirie;7;23/09/2021;Acces libre;29 Rue Cotentin 75015 Paris;48.838547,2.312675;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX15131;21/01/2022;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7495224211946.0;24-juil;Direct
34;FR*V75*EPX15*13*7;En service;15e Arrondissement;FR*V75*PPX15*13;FRV75PPX1513;Paris | Rue Cotentin 29;75115.0;Voirie;7;23/09/2021;Acces libre;29 Rue Cotentin 75015 Paris;48.838547,2.312675;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX15137;21/01/2022;Non accessible;aucune restriction;TRUE;3.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7495224211946.0;24-juil;Direct
